361.000s     6028 msg/s   6030 msg/s 122/585/7351/43312/56182 µs
362.000s     6024 msg/s   6005 msg/s 131/334/684/5791/11389 µs
363.000s     6028 msg/s   6048 msg/s 126/338/705/8953/31759 µs
364.000s     6024 msg/s   6023 msg/s 129/424/1531/21007/35756 µs
365.001s     6023 msg/s   6024 msg/s 136/453/1027/11702/18591 µs
366.000s     6030 msg/s   6028 msg/s 142/388/1035/20462/33175 µs
367.000s     6029 msg/s   6026 msg/s 128/433/913/10884/32383 µs
368.001s     6023 msg/s   6028 msg/s 123/389/825/4074/7122 µs
369.000s     6029 msg/s   5945 msg/s 127/347/718/24205/38968 µs
370.000s     6023 msg/s   6104 msg/s 127/483/1160/8553/26733 µs
371.000s     6029 msg/s   6027 msg/s 130/388/840/7415/27442 µs
372.000s     6029 msg/s   5993 msg/s 126/337/854/7517/12482 µs
373.000s     6030 msg/s   6067 msg/s 126/327/582/2927/6423 µs
374.000s     6024 msg/s   6007 msg/s 129/349/923/10465/27446 µs
375.000s     6023 msg/s   6003 msg/s 126/355/1591/13118/20494 µs
376.000s     6029 msg/s   6066 msg/s 133/648/7438/61781/83184 µs
377.000s     6024 msg/s   6024 msg/s 126/450/1510/12147/17887 µs
378.000s     6029 msg/s   6030 msg/s 129/342/1009/7145/11247 µs
379.000s     6024 msg/s   6024 msg/s 123/454/3564/18360/31017 µs
380.000s     6029 msg/s   6029 msg/s 123/365/1066/7423/12679 µs
381.000s     6030 msg/s   6028 msg/s 126/449/2531/14218/22125 µs
382.000s     6023 msg/s   6024 msg/s 133/403/1138/9151/23408 µs
383.000s     6024 msg/s   6025 msg/s 128/400/1541/15074/19525 µs
384.000s     6030 msg/s   6030 msg/s 123/386/4236/26782/52796 µs
